idade,total,sexo
43,3148,F
80,16,F
39,3754,F
54,1896,F
47,2545,F
61,881,F
67,371,F
87,4,F
46,2678,F
48,2656,F
28,2216,F
83,16,F
36,4136,F
66,476,F
77,34,F
30,3070,F
89,1,F
50,2535,F
33,4445,F
73,94,F
40,3733,F
56,1468,F
53,2123,F
62,855,F
19,1,F
57,1325,F
51,2381,F
92,2,F
23,75,F
35,4205,F
65,518,F
31,3483,F
52,2255,F
76,51,F
69,240,F
44,2990,F
37,3953,F
85,3,F
34,4119,F
82,7,F
81,13,F
32,3997,F
25,626,F
58,1305,F
79,28,F
42,3477,F
26,1138,F
90,1,F
59,1066,F
78,29,F
86,6,F
49,2747,F
63,713,F
22,15,F
24,228,F
91,4,F
64,605,F
70,220,F
45,2687,F
55,1673,F
27,1763,F
68,351,F
84,8,F
38,3932,F
60,1071,F
74,76,F
71,152,F
29,2734,F
21,1,F
72,152,F
41,3258,F
75,56,F
43,-3806,M
80,-72,M
39,-4215,M
54,-2462,M
47,-3327,M
61,-1327,M
96,-1,M
67,-783,M
87,-4,M
46,-3256,M
99,-1,M
48,-3377,M
28,-2066,M
83,-25,M
36,-4603,M
66,-889,M
77,-122,M
30,-2899,M
89,-2,M
50,-3364,M
33,-4274,M
73,-264,M
40,-4188,M
56,-2082,M
53,-2623,M
62,-1379,M
19,-1,M
57,-2055,M
51,-3103,M
92,-1,M
23,-62,M
35,-4565,M
65,-1004,M
31,-3267,M
52,-2785,M
76,-150,M
69,-598,M
44,-3558,M
37,-4682,M
85,-18,M
34,-4340,M
82,-34,M
81,-48,M
32,-3929,M
25,-609,M
58,-1776,M
79,-82,M
42,-3970,M
26,-1058,M
90,-5,M
59,-1663,M
78,-107,M
86,-10,M
49,-3396,M
63,-1166,M
22,-18,M
24,-196,M
91,-1,M
64,-992,M
70,-411,M
45,-3475,M
55,-2170,M
27,-1616,M
68,-682,M
84,-21,M
88,-24,M
38,-4485,M
60,-1536,M
74,-224,M
71,-395,M
29,-2498,M
93,-1,M
21,-6,M
72,-319,M
41,-3834,M
75,-165,M
