idade,total,sexo
43,2241,F
80,4,F
39,2377,F
54,1643,F
47,1974,F
61,913,F
67,382,F
87,3,F
46,2010,F
48,2055,F
28,1263,F
83,1,F
36,2560,F
94,2,F
66,414,F
77,3,F
30,1860,F
89,2,F
50,2228,F
33,2558,F
73,18,F
40,2342,F
56,1493,F
53,1865,F
62,814,F
57,1309,F
51,2147,F
92,1,F
23,128,F
65,488,F
31,2065,F
35,2553,F
52,1903,F
76,6,F
69,215,F
44,2062,F
37,2614,F
85,1,F
34,2461,F
82,1,F
81,1,F
32,2339,F
25,510,F
58,1280,F
79,2,F
42,2300,F
26,756,F
90,3,F
59,1125,F
78,4,F
98,1,F
49,2275,F
63,696,F
22,26,F
24,296,F
91,5,F
64,637,F
70,144,F
45,2051,F
55,1515,F
27,1019,F
68,302,F
88,1,F
38,2401,F
60,991,F
74,7,F
71,21,F
29,1533,F
93,1,F
21,6,F
72,12,F
41,2264,F
75,9,F
43,-2489,M
80,-12,M
39,-2659,M
54,-1968,M
47,-2319,M
61,-1605,M
96,-2,M
67,-840,M
87,-3,M
46,-2242,M
99,-1,M
48,-2377,M
28,-1389,M
83,-7,M
36,-2934,M
94,-4,M
66,-987,M
77,-19,M
30,-1898,M
89,-4,M
50,-2561,M
33,-2872,M
73,-38,M
95,-1,M
40,-2664,M
56,-1793,M
53,-2149,M
62,-1569,M
57,-1919,M
51,-2373,M
92,-1,M
23,-139,M
65,-1051,M
31,-2258,M
35,-3003,M
52,-2213,M
76,-11,M
101,-1,M
69,-567,M
44,-2260,M
37,-2934,M
85,-8,M
34,-3027,M
82,-6,M
81,-10,M
32,-2662,M
25,-560,M
58,-1803,M
79,-15,M
42,-2445,M
26,-818,M
90,-5,M
59,-1692,M
78,-13,M
98,-2,M
100,-1,M
86,-4,M
49,-2607,M
63,-1388,M
22,-35,M
24,-302,M
91,-5,M
64,-1251,M
70,-363,M
45,-2274,M
55,-1921,M
27,-1088,M
68,-689,M
84,-11,M
88,-5,M
38,-2811,M
60,-1727,M
74,-24,M
71,-76,M
29,-1743,M
93,-2,M
21,-9,M
72,-45,M
41,-2473,M
75,-14,M
